head_node	edge_relation	tail_node
armenian	/r/IsA	-
persian	/r/IsA	-
american	/r/IsA	-
filipino	/r/IsA	-
english	/r/IsA	-
norwegian	/r/IsA	-
dutch	/r/IsA	-
israeli	/r/IsA	-
nigerian	/r/IsA	-
ethiopia	/r/IsA	-
europe	/r/IsA	-
european	/r/IsA	-
russian	/r/IsA	-
ukraine	/r/IsA	-
sudan	/r/IsA	-
afghanistan	/r/IsA	-
iraq	/r/IsA	-
yemen	/r/IsA	-
ukrainian	/r/IsA	-
russia	/r/IsA	-
italy	/r/IsA	-
somali	/r/IsA	-
iran	/r/IsA	-
afghan	/r/IsA	-
indian	/r/IsA	-
italian	/r/IsA	-
australian	/r/IsA	-
spanish	/r/IsA	-
guatemalan	/r/IsA	-
hispanic	/r/IsA	-
venezuela	/r/IsA	-
sudanese	/r/IsA	-
oman	/r/IsA	-
finnish	/r/IsA	-
swedish	/r/IsA	-
venezuelan	/r/IsA	-
puerto rican	/r/IsA	-
ghanaian	/r/IsA	-
moroccan	/r/IsA	-
somalia	/r/IsA	-
saudi arabian	/r/IsA	-
syria	/r/IsA	-
chinese	/r/IsA	-
pakistani	/r/IsA	-
china	/r/IsA	-
india	/r/IsA	-
irish	/r/IsA	-
britain	/r/IsA	-
france	/r/IsA	-
greece	/r/IsA	-
scotland	/r/IsA	-
mexican	/r/IsA	-
paraguayan	/r/IsA	-
brazil	/r/IsA	-
african	/r/IsA	-
eritrean	/r/IsA	-
sierra leonean	/r/IsA	-
africa	/r/IsA	-
jordan	/r/IsA	-
indonesia	/r/IsA	-
vietnam	/r/IsA	-
pakistan	/r/IsA	-
german	/r/IsA	-
romania	/r/IsA	-
brazilian	/r/IsA	-
ecuadorian	/r/IsA	-
mexico	/r/IsA	-
puerto rico	/r/IsA	-
kenyan	/r/IsA	-
liberian	/r/IsA	-
cameroonian	/r/IsA	-
african americans	/r/IsA	-
kenya	/r/IsA	-
liberia	/r/IsA	-
sierra leon	/r/IsA	-
qatari	/r/IsA	-
syrian	/r/IsA	-
arab	/r/IsA	-
saudi arabia	/r/IsA	-
lebanon	/r/IsA	-
indonesian	/r/IsA	-
french	/r/IsA	-
norwegian	/r/IsA	-
south africa	/r/IsA	-
jordanian	/r/IsA	-
korea	/r/IsA	-
singapore	/r/IsA	-
romanian	/r/IsA	-
crimean	/r/IsA	-
native american	/r/IsA	-
germany	/r/IsA	-
ireland	/r/IsA	-
ecuador	/r/IsA	-
morocco	/r/IsA	-
omani	/r/IsA	-
iranian	/r/IsA	-
iraqi	/r/IsA	-
qatar	/r/IsA	-
turkey	/r/IsA	-
vietnamese	/r/IsA	-
nepali	/r/IsA	-
laos	/r/IsA	-
bangladesh	/r/IsA	-
british	/r/IsA	-
polish	/r/IsA	-
greek	/r/IsA	-
scottish	/r/IsA	-
bolivian	/r/IsA	-
guatemala	/r/IsA	-
ghana	/r/IsA	-
cameroon	/r/IsA	-
japanese	/r/IsA	-
taiwanese	/r/IsA	-
bengali	/r/IsA	-
